x,y
155,2
156,3
157,4
158,5
159,6
160,7
162,8
163,9
166,10
169,11
171,12
172,13
174,14
175,15
177,16
179,17
181,18
183,19
190,20
191,21
192,22
193,23
194,24
195,25
197,26
198,27
200,28
203,29
205,30
206,31
207,32
209,33
212,34
220,35
223,36
224,37
225,38
229,39
230,40
236,41
237,42
240,43
244,44
250,45
252,46
253,47
255,48
257,49
258,50
263,51
264,52
265,53
266,54
268,55
269,56
271,57
273,58
274,59
275,60
279,61
281,62
282,63
284,64
286,65
288,66
292,67
294,68
295,69
296,70
301,71
303,72
304,73
308,74
309,75
312,76
313,77
314,78
317,79
319,80
320,81
322,82
326,83
327,84
329,85
330,86
331,87
334,88
335,89
337,90
339,91
345,92
346,93
350,94
351,95
352,96
353,97
354,98
355,99
356,100
357,101
359,102
360,103
364,104
365,105
368,106
369,107
372,108
375,109
378,110
387,111
388,112
389,113
390,114
391,115
392,116
393,117
396,118
397,119
398,120
403,121
405,122
406,123
407,124
411,125
413,126
414,127
419,128
422,129
427,130
428,131
429,132
431,133
432,134
434,135
435,136
440,137
441,138
442,139
447,140
451,141
454,142
455,143
458,144
462,145
464,146
467,147
468,148
470,149
471,150
475,151
476,152
478,153
480,154
483,155
488,156
489,157
490,158
492,159
493,160
495,161
496,162
498,163
499,164
500,165
502,166
503,167
505,168
508,169
509,170
512,171
513,172
515,173
517,174
519,175
522,176
524,177
526,178
529,179
531,180
532,181
533,182
534,183
535,184
536,185
537,186
540,187
542,188
549,189
550,190
554,191
556,192
559,193
564,194
565,195
566,196
568,197
571,198
572,199
573,200
579,201
580,202
581,203
582,204
592,205
593,206
595,207
596,208
597,209
598,210
600,211
605,212
607,213
608,214
611,215
616,216
617,217
618,218
625,219
629,220
635,221
638,222
639,223
640,224
644,225
646,226
647,227
652,228
654,229
655,230
656,231
658,232
659,233
660,234
665,235
670,236
673,237
674,238
675,239
676,240
677,241
680,242
681,243
686,244
688,245
689,246
691,247
692,248
693,249
695,250
696,251
698,252
699,253
700,254
702,255
703,256
704,257
705,258
707,259
711,260
714,261
715,262
718,263
721,264
732,265
733,266
734,267
738,268
739,269
741,270
742,271
743,272
745,273
746,274
748,275
749,276
750,277
751,278
752,279
756,280
757,281
758,282
760,283
761,284
762,285
765,286
766,287
767,288
768,289
770,290
771,291
772,292
777,293
781,294
783,295
784,296
785,297
786,298
787,299
788,300
789,301
790,302
793,303
794,304
795,305
796,306
797,307
798,308
801,309
805,310
806,311
807,312
810,313
811,314
818,315
819,316
823,317
824,318
826,319
828,320
831,321
833,322
835,323
836,324
